"행정구역","2020년01월_계_총인구수","2020년01월_계_연령구간인구수","2020년01월_계_20~29세","2020년01월_계_30~39세","2020년01월_계_40~49세","2020년01월_계_50~59세","2020년01월_계_60~69세","2020년01월_계_70~79세","2020년01월_남_총인구수","2020년01월_남_연령구간인구수","2020년01월_남_20~29세","2020년01월_남_30~39세","2020년01월_남_40~49세","2020년01월_남_50~59세","2020년01월_남_60~69세","2020년01월_남_70~79세","2020년01월_여_총인구수","2020년01월_여_연령구간인구수","2020년01월_여_20~29세","2020년01월_여_30~39세","2020년01월_여_40~49세","2020년01월_여_50~59세","2020년01월_여_60~69세","2020년01월_여_70~79세"
"충청남도  (4400000000)","2,122,455","1,622,585","245,107","277,923","328,866","341,152","262,421","167,116","1,081,552","843,878","134,646","149,019","175,334","179,360","130,566","74,953","1,040,903","778,707","110,461","128,904","153,532","161,792","131,855","92,163"
"충청남도 천안시 (4413000000)","652,845","502,102","95,044","106,759","111,279","101,845","58,120","29,055","332,818","258,294","49,726","56,623","57,277","52,378","29,290","13,000","320,027","243,808","45,318","50,136","54,002","49,467","28,830","16,055"
"충청남도 천안시 동남구 (4413100000)","259,416","201,726","35,447","34,629","43,609","44,212","28,803","15,026","131,605","103,358","18,833","18,144","22,454","22,599","14,493","6,835","127,811","98,368","16,614","16,485","21,155","21,613","14,310","8,191"
"충청남도 천안시 서북구 (4413300000)","393,429","300,376","59,597","72,130","67,670","57,633","29,317","14,029","201,213","154,936","30,893","38,479","34,823","29,779","14,797","6,165","192,216","145,440","28,704","33,651","32,847","27,854","14,520","7,864"
"충청남도 공주시 (4415000000)","106,294","83,468","11,945","10,049","13,786","18,915","17,528","11,245","53,252","42,879","6,592","5,384","7,278","9,807","8,750","5,068","53,042","40,589","5,353","4,665","6,508","9,108","8,778","6,177"
"충청남도 보령시 (4418000000)","100,908","78,787","9,824","9,976","14,186","17,544","16,283","10,974","51,031","40,946","5,690","5,413","7,755","9,281","7,950","4,857","49,877","37,841","4,134","4,563","6,431","8,263","8,333","6,117"
"충청남도 아산시 (4420000000)","314,238","234,439","36,177","50,629","55,122","45,351","29,625","17,535","162,713","123,578","19,917","26,920","30,026","24,402","14,585","7,728","151,525","110,861","16,260","23,709","25,096","20,949","15,040","9,807"
"충청남도 서산시 (4421000000)","174,663","131,802","19,201","22,756","27,647","28,170","20,521","13,507","90,387","69,827","11,248","12,422","14,740","14,921","10,228","6,268","84,276","61,975","7,953","10,334","12,907","13,249","10,293","7,239"
"충청남도 논산시 (4423000000)","118,781","91,701","11,984","11,394","15,963","20,374","19,163","12,823","59,429","47,110","6,728","5,988","8,544","10,620","9,631","5,599","59,352","44,591","5,256","5,406","7,419","9,754","9,532","7,224"
"충청남도 계룡시 (4425000000)","42,735","30,891","4,924","4,742","8,462","6,761","4,058","1,944","21,250","15,415","2,744","2,327","4,101","3,403","1,968","872","21,485","15,476","2,180","2,415","4,361","3,358","2,090","1,072"
"충청남도 당진시 (4427000000)","166,815","125,615","16,625","23,913","26,418","25,929","19,853","12,877","88,199","68,436","9,635","13,518","14,833","14,440","10,001","6,009","78,616","57,179","6,990","10,395","11,585","11,489","9,852","6,868"
"충청남도 금산군 (4471000000)","52,120","40,213","4,231","4,120","6,491","9,286","9,339","6,746","26,240","20,970","2,430","2,163","3,637","5,063","4,712","2,965","25,880","19,243","1,801","1,957","2,854","4,223","4,627","3,781"
"충청남도 부여군 (4476000000)","66,676","51,310","5,756","4,731","7,562","11,377","12,506","9,378","33,011","26,315","3,320","2,583","4,130","5,863","6,237","4,182","33,665","24,995","2,436","2,148","3,432","5,514","6,269","5,196"
"충청남도 서천군 (4477000000)","52,702","40,641","4,121","3,732","6,116","8,802","9,938","7,932","26,045","20,891","2,398","2,081","3,385","4,708","4,856","3,463","26,657","19,750","1,723","1,651","2,731","4,094","5,082","4,469"
"충청남도 청양군 (4479000000)","31,577","24,364","2,915","2,224","3,323","5,514","5,892","4,496","15,937","12,820","1,647","1,264","1,949","2,972","3,005","1,983","15,640","11,544","1,268","960","1,374","2,542","2,887","2,513"
"충청남도 홍성군 (4480000000)","100,347","75,432","9,871","10,958","14,668","16,135","13,960","9,840","49,896","38,319","5,413","5,693","7,679","8,338","6,824","4,372","50,451","37,113","4,458","5,265","6,989","7,797","7,136","5,468"
"충청남도 예산군 (4481000000)","79,126","62,015","7,182","6,431","9,935","14,130","14,111","10,226","39,721","32,142","4,060","3,570","5,481","7,414","7,000","4,617","39,405","29,873","3,122","2,861","4,454","6,716","7,111","5,609"
"충청남도 태안군 (4482500000)","62,628","49,805","5,307","5,509","7,908","11,019","11,524","8,538","31,623","25,936","3,098","3,070","4,519","5,750","5,529","3,970","31,005","23,869","2,209","2,439","3,389","5,269","5,995","4,568"
